Driver State,Speed (GPS),Engine Load,Throttle Position(Manifold),Engine RPM,Speed (OBD),Torque,GPS Bearing,Air Fuel Ratio(Measured),Engine Load(Absolute),Relative Throttle Position,Absolute Throttle Position B,Accelerator PedalPosition D,Accelerator PedalPosition E,Air Fuel Ratio(Commanded),Engine kW (At the wheels),time,lat,lng
9,5.6295,49.8039,14.1176,1701.25,9,10.1725,56,14.8821,25.8824,5.4902,13.7255,19.6078,9.80392,14.5564,2.45717,1416451011840,40.4439,-79.939
9,8.78202,22.7451,13.3333,1929.25,11,6.87478,60,13.7341,20.3922,5.4902,13.7255,15.2941,7.84314,14.848,1.88316,1416451012841,40.4439,-79.939
9,11.7094,24.3137,10.9804,1326,9,6.87478,78,13.7341,11.7647,1.56863,10.1961,15.2941,7.84314,14.848,1.88316,1416451013841,40.4439,-79.9389
3,10.8086,24.3137,10.9804,1165.25,4,6.87478,90,14.4389,18.4314,1.96078,10.9804,15.2941,7.84314,14.5829,1.88316,1416451014840,40.4439,-79.9389
3,6.7554,34.1176,10.5882,1165.25,4,6.87478,95,15.7201,16.0784,1.56863,10.1961,15.2941,7.84314,14.8799,1.88316,1416451015840,40.4439,-79.9389
8,3.15252,28.6275,9.80392,1052.5,0,0,98,14.9503,19.6078,1.17647,10.1961,15.2941,7.84314,14.8799,0,1416451016841,40.4439,-79.9388
8,0.67554,46.2745,11.3725,893.75,0,0,96,14.7372,19.6078,2.35294,11.3725,15.2941,7.84314,14.5874,0,1416451017843,40.4439,-79.9388
1,0,51.3726,10.9804,819.75,2,3.10666,43,14.6143,27.0588,2.35294,11.3725,15.2941,7.84314,14.8669,0.361589,1416451018841,40.4439,-79.9388
1,3.15252,75.6863,17.2549,1184.25,5,8.08454,62,14.6143,29.0196,1.96078,11.3725,19.2157,10.1961,14.8669,1.35937,1416451019840,40.4439,-79.9388
1,6.30504,75.6863,17.2549,1865.75,11,22.0424,72,14.3272,36.4706,7.45098,16.4706,22.3529,11.3725,14.8669,5.83917,1416451020841,40.4439,-79.9388
1,9.68274,75.6863,17.2549,1865.75,11,22.0424,73,14.9772,41.1765,9.01961,18.4314,23.5294,11.7647,14.5717,5.83917,1416451021840,40.4439,-79.9388
1,9.68274,78.8235,19.6078,2464,15,15.7405,73,15.1809,41.1765,10.9804,20,23.9216,12.1569,14.8516,5.50678,1416451022841,40.4439,-79.9388
1,10.3583,95.2941,21.1765,1706,21,43.4923,72,14.8588,45.8824,14.1176,23.1373,23.9216,12.1569,14.848,10.5349,1416451023840,40.4439,-79.9387
1,16.6633,76.4706,23.5294,2248.5,26,36.1149,63,14.9804,45.098,14.1176,23.1373,24.7059,12.549,14.848,11.5297,1416451024840,40.444,-79.9387
